label,text
spam,TIN VUI! SIM của bạn trúng thưởng LAPTOP GAMING. Gọi 0906959592 trong vòng 15h để nhận!
ham,Mình mới mua laptop mới. Cuối tuần qua xem nhé!
spam,BẠN ĐÃ TRÚNG! XE MÁY HONDA trị giá 500000đ từ Shopee. Xác nhận tại: www.claim-prize.net
spam,TIN VUI! SIM của bạn trúng thưởng SAMSUNG S23. Gọi 0902807867 trong vòng 41h để nhận!
spam,CẢNH BÁO: SIM của bạn có dấu hiệu bất thường. Kiểm tra: www.secure.net
ham,Bạn gửi cho mình báo cáo của dự án A được không?
spam,THÔNG BÁO KHẨN: Ví điện tử cần xác minh gấp. Truy cập: my.secure.com
ham,Bạn có biết chỗ nào bán laptop tốt không? Mình đang cần.
spam,HOT DEAL: Giảm 84% tại Shopee. Mã: SALE638. Hết hạn trong 11h!
ham,Cuối tuần này bạn có kế hoạch gì không? Mình muốn rủ đi xem phim.
ham,Mình vừa xem phim xong. Hôm nay không khí mát mẻ!
ham,Hôm nay mình nấu phở. Bạn qua ăn không?
ham,Bạn gửi cho mình tài liệu của chiến dịch mới được không?
ham,"Bạn ơi, 1h2 mình gặp nhau nhà mình được không?"
spam,ƯU ĐÃI LỚN: Mua iPhone chỉ với 48trđ tại vn.shop.vn. Mã: SALE842
ham,Hôm nay mình nấu bún bò. Bạn qua ăn không?
spam,KHẨN: Tài khoản Tài khoản của bạn sắp bị khóa. Xác minh tại: www.secure.com
spam,HỌC TRADE COIN MIỄN PHÍ. Đăng ký: www.invest.com. Số lượng có hạn!
ham,Cuối tuần này bạn có kế hoạch gì không? Mình muốn rủ đi đi dạo.
ham,Deadline kế hoạch quý là khi nào? Mình cần chuẩn bị bản vẽ.
ham,Team mình họp online lúc 8h44 nhé. Link meet: meet.google.com/vxbdlzvtva
spam,ƯU ĐÃI LỚN: Mua iPhone chỉ với 3trđ tại app.shop.com. Mã: SALE948
spam,TIN VUI! SIM của bạn trúng thưởng TV SONY 4K. Gọi 0907162273 trong vòng 40h để nhận!
spam,CHÚC MỪNG! Bạn đã trúng XE SH MODE trị giá 20000000đ. Liên hệ 0983453020 để nhận quà!
spam,CHÚC MỪNG! Bạn đã trúng LAPTOP GAMING trị giá 1000000đ. Liên hệ 0901201412 để nhận quà!
ham,Tối nay 8h mình đi dạo nhé. nhà mình như mọi khi.
spam,CƠ HỘI ĐẦU TƯ: Lợi nhuận 111%/tháng. Tìm hiểu: vn.invest.net
ham,"Bạn ơi, 9h42 mình gặp nhau nhà mình được không?"
spam,HỌC TRADE COIN MIỄN PHÍ. Đăng ký: www.invest.com. Số lượng có hạn!
ham,Mình vừa đi dạo xong. Hôm nay vui lắm!
ham,Bạn gửi cho mình kế hoạch của chiến dịch mới được không?
ham,Deadline bài tập lớn môn Kinh tế là khi nào?
ham,Bạn gửi cho mình báo cáo của chiến dịch mới được không?
ham,Deadline đồ án môn Toán là khi nào?
ham,Cuối tuần này bạn có kế hoạch gì không? Mình muốn rủ đi đi café.
ham,Mai 8h0 mình học nhóm môn Toán nhé?
spam,"VAY TIỀN NHANH: Chỉ cần CMND, giải ngân sau 15h. LH: vn.loan.vn"
spam,CHÚC MỪNG BẠN! Số điện thoại của bạn trúng TV SONY 8K. Nhận quà tại: app.claim-prize.vn
ham,Mình vừa đi ăn xong. Hôm nay trời đẹp lắm!
spam,ƯU ĐÃI LỚN: Mua Samsung chỉ với 7trđ tại m.shop.vn. Mã: SALE300
spam,HOT DEAL: Giảm 54% tại Lazada. Mã: SALE137. Hết hạn trong 14h!
ham,Bạn gửi cho mình tài liệu của chiến dịch mới được không?
spam,SALE SỐC: Giảm đến 76% phụ kiện. Truy cập my.shop.online ngay!
ham,Mình mới mua smart watch mới. Cuối tuần qua xem nhé!
spam,HỌC TRADE COIN MIỄN PHÍ. Đăng ký: m.invest.xyz. Số lượng có hạn!
ham,Mình vừa xem phim xong. Hôm nay mệt quá!
spam,FLASH SALE 25H: iPhone giảm 70%. Số lượng có hạn!
spam,SIÊU SALE: Thanh toán qua ShopeePay giảm thêm 16%!
spam,HOT DEAL: Giảm 52% tại TikTok Shop. Mã: SALE718. Hết hạn trong 17h!
spam,VAY ONLINE: Lãi suất chỉ 3%/tháng. Đăng ký: www.loan.online
spam,BẠN ĐÃ TRÚNG! IPHONE 15 PRO MAX trị giá 500000đ từ MoMo. Xác nhận tại: vn.claim-prize.online
ham,Mình cần góp ý với presentation. Bạn có thể giúp không?
spam,QUAN TRỌNG: Phát hiện đăng nhập lạ vào SIM. Kiểm tra: m.secure.asia
ham,Bạn có review về smart watch không? Mình đang định mua.
ham,"Bạn ơi, 1h33 mình gặp nhau nhà mình được không?"
spam,"VAY TIỀN NHANH: Chỉ cần CMND, giải ngân sau 9h. LH: www.loan.net"
spam,CẢNH BÁO: Ví điện tử của bạn có dấu hiệu bất thường. Kiểm tra: www.secure.net
ham,Hôm nay mình nấu phở. Bạn qua ăn không?
spam,BẠN ĐÃ TRÚNG! IPHONE 15 PRO MAX trị giá 2000000đ từ Lazada. Xác nhận tại: vn.claim-prize.online
ham,Tối nay 7h mình đi dạo nhé. quán quen như mọi khi.
ham,Tối nay 1h mình đi dạo nhé. trung tâm như mọi khi.
ham,Cuối tuần này bạn có kế hoạch gì không? Mình muốn rủ đi đi café.
spam,THÔNG BÁO KHẨN: Tài khoản cần xác minh gấp. Truy cập: www.secure.net
ham,"Bạn ơi, 18h14 mình gặp nhau quán quen được không?"
ham,Cuối tuần này bạn có kế hoạch gì không? Mình muốn rủ đi đi gym.
spam,SIÊU SALE: Thanh toán qua MoMo giảm thêm 6%!
spam,CHÚC MỪNG! Bạn đã trúng MACBOOK PRO M3 trị giá 50000000đ. Liên hệ 0939132901 để nhận quà!
spam,ƯU ĐÃI LỚN: Mua TV chỉ với 16trđ tại www.shop.online. Mã: SALE700
spam,CẢNH BÁO: Tài khoản của bạn có dấu hiệu bất thường. Kiểm tra: www.secure.online
ham,Hôm nay mình nấu lẩu. Bạn qua ăn không?
ham,Tối nay 1h mình đi ăn nhé. công viên như mọi khi.
ham,Mình vừa học bài xong. Hôm nay tuyệt vời!
spam,CẢNH BÁO: SIM của bạn có dấu hiệu bất thường. Kiểm tra: www.secure.com
ham,Bạn gửi cho mình bản thảo của kế hoạch quý được không?
ham,Cuối tuần này bạn có kế hoạch gì không? Mình muốn rủ đi đi shopping.
spam,CHÚC MỪNG! Bạn đã trúng LAPTOP GAMING trị giá 20000000đ. Liên hệ 0906092912 để nhận quà!
ham,Mình vừa đi ăn xong. Hôm nay không khí mát mẻ!
ham,Mình mới mua máy ảnh mới. Cuối tuần qua xem nhé!
ham,Mình mới mua máy ảnh mới. Cuối tuần qua xem nhé!
ham,Tối nay 8h5 mình đi ăn nhé. trung tâm như mọi khi.
ham,Bạn gửi cho mình kế hoạch của kế hoạch quý được không?
spam,SALE SỐC: Giảm đến 68% gia dụng. Truy cập www.shop.vn ngay!
spam,BẠN ĐÃ TRÚNG! SAMSUNG S23 trị giá 500000đ từ Viettel. Xác nhận tại: www.claim-prize.online
spam,KHẨN: Tài khoản Ví điện tử của bạn sắp bị khóa. Xác minh tại: m.secure.asia
ham,Bạn gửi cho mình bản thảo của dự án A được không?
ham,Mình cần hỗ trợ với presentation. Bạn có thể giúp không?
ham,Deadline presentation môn Marketing là khi nào?
spam,"VAY NHANH: Duyệt trong 18h, lãi suất 2%. LH: 0965857626"
ham,Mình cần review với báo cáo. Bạn có thể giúp không?
spam,KHÓA HỌC ĐẦU TƯ FOREX chỉ 402kđ. Đăng ký: vn.invest.xyz
ham,Bạn gửi cho mình bản thảo của dự án B được không?
spam,ƯU ĐÃI LỚN: Mua iPhone chỉ với 9trđ tại my.shop.asia. Mã: SALE592
ham,Họp dự án A chuyển sang 14h18 nhé. Nhớ mang report.
spam,KHÁM PHÁ: Đầu tư Dogecoin sinh lời 193%. CT: vn.invest.online
spam,SALE SỐC: Giảm đến 86% laptop. Truy cập my.shop.vn ngay!
ham,Cuối tuần này bạn có kế hoạch gì không? Mình muốn rủ đi đi dạo.
ham,Deadline presentation môn Marketing là khi nào?
spam,BẠN ĐÃ TRÚNG! IPHONE 14 trị giá 2000000đ từ Tiki. Xác nhận tại: www.claim-prize.online
ham,Mình mới mua tai nghe mới. Cuối tuần qua xem nhé!
spam,KHẨN: Tài khoản SIM của bạn sắp bị khóa. Xác minh tại: app.secure.asia
ham,Hôm nay mình nấu gà rán. Bạn qua ăn không?
spam,BẠN ĐÃ TRÚNG! IPHONE 14 trị giá 2000000đ từ Tiki. Xác nhận tại: www.claim-prize.vn
spam,CHÚC MỪNG! Bạn đã trúng XE MÁY HONDA trị giá 10000000đ. Liên hệ 0909521365 để nhận quà!
spam,BẠN ĐÃ TRÚNG! IPAD PRO M2 trị giá 20000000đ từ MoMo. Xác nhận tại: m.claim-prize.net
spam,TIN VUI! SIM của bạn trúng thưởng XE MÁY HONDA. Gọi 0907532655 trong vòng 42h để nhận!
ham,Bạn gửi cho mình tài liệu của kế hoạch quý được không?
ham,Tối nay 16h44 mình đi café nhé. trung tâm như mọi khi.
spam,BẠN ĐÃ TRÚNG! XE MÁY HONDA trị giá 500000đ từ FPT. Xác nhận tại: www.claim-prize.vn
ham,Mình vừa đi dạo xong. Hôm nay không khí mát mẻ!
ham,Mình vừa đi café xong. Hôm nay vui lắm!
spam,VAY ONLINE: Lãi suất chỉ 5%/tháng. Đăng ký: www.loan.online
ham,Hôm nay mình nấu bún bò. Bạn qua ăn không?
ham,"Hôm nay se lạnh, mình đi đi dạo không bạn?"
ham,Họp kế hoạch quý chuyển sang 14h nhé. Nhớ mang tài liệu.
ham,Hôm nay mình nấu cơm rang. Bạn qua ăn không?
ham,Cuối tuần này bạn có kế hoạch gì không? Mình muốn rủ đi xem phim.
ham,Tối nay đi ăn cơm rang không? Mình biết quán ngon.
ham,Họp dự án A chuyển sang 12h nhé. Nhớ mang laptop.
ham,Tối nay đi ăn lẩu không? Mình biết quán ngon.
spam,"CẦN TIỀN GẤP? Vay đến 10000000đ, không thế chấp. Gọi: 0998153984"
spam,BÍ QUYẾT KIẾM 5000000đ/NGÀY từ Crypto. Tham gia ngay: m.invest.online
ham,Hôm nay mình nấu phở. Bạn qua ăn không?
spam,CHÚC MỪNG! Bạn đã trúng XE SH MODE trị giá 2000000đ. Liên hệ 0951605588 để nhận quà!
ham,Bạn có biết chỗ nào bán điện thoại tốt không? Mình đang cần.
ham,Bạn có biết chỗ nào bán máy ảnh tốt không? Mình đang cần.
ham,Hôm nay mình nấu cơm rang. Bạn qua ăn không?
spam,"CẦN TIỀN GẤP? Vay đến 10000000đ, không thế chấp. Gọi: 0934099721"
spam,SALE SỐC: Giảm đến 33% laptop. Truy cập app.shop.com ngay!
ham,Bạn có biết chỗ nào bán tai nghe tốt không? Mình đang cần.
ham,Tối nay 3h mình đi ăn nhé. trung tâm như mọi khi.
ham,Họp dự án A chuyển sang 12h40 nhé. Nhớ mang bản vẽ.
ham,Hôm nay mình nấu bún bò. Bạn qua ăn không?
spam,"VAY NHANH: Duyệt trong 20h, lãi suất 4%. LH: 0957695681"
spam,HOT DEAL: Giảm 38% tại Sendo. Mã: SALE148. Hết hạn trong 20h!
spam,KHẨN: Tài khoản SIM của bạn sắp bị khóa. Xác minh tại: vn.secure.com
spam,BẠN ĐÃ TRÚNG! SAMSUNG S23 trị giá 20000000đ từ Shopee. Xác nhận tại: www.claim-prize.online
ham,Bạn có biết chỗ nào bán máy ảnh tốt không? Mình đang cần.
ham,Tối nay đi ăn lẩu không? Mình biết quán ngon.
ham,Họp dự án A chuyển sang 15h50 nhé. Nhớ mang presentation.
spam,BẠN ĐÃ TRÚNG! SAMSUNG S24 ULTRA trị giá 5000000đ từ Tiki. Xác nhận tại: vn.claim-prize.vn
spam,THÔNG BÁO KHẨN: Ví điện tử cần xác minh gấp. Truy cập: www.secure.net
spam,CẢNH BÁO: Ví điện tử của bạn có dấu hiệu bất thường. Kiểm tra: app.secure.com
ham,Họp kế hoạch quý chuyển sang 2h32 nhé. Nhớ mang laptop.
ham,Họp dự án A chuyển sang 21h18 nhé. Nhớ mang presentation.
ham,Mình cần góp ý với presentation. Bạn có thể giúp không?
spam,CẢNH BÁO BẢO MẬT: Ví điện tử của bạn đang gặp rủi ro. Xác thực ngay: www.secure.xyz
spam,SALE SỐC: Giảm đến 32% mỹ phẩm. Truy cập www.shop.vn ngay!
spam,VAY ONLINE: Lãi suất chỉ 1%/tháng. Đăng ký: vn.loan.online
ham,Tối nay 16h26 mình đi ăn nhé. trung tâm như mọi khi.
ham,Mai 23h21 mình học nhóm môn Toán nhé?
ham,Mình vừa đi dạo xong. Hôm nay trời đẹp lắm!
spam,KHẨN: Tài khoản SIM của bạn sắp bị khóa. Xác minh tại: www.secure.com
ham,Cuối tuần này bạn có kế hoạch gì không? Mình muốn rủ đi xem phim.
spam,BẠN ĐÃ TRÚNG! LAPTOP GAMING trị giá 50000000đ từ Tiki. Xác nhận tại: www.claim-prize.net
spam,SALE SỐC: Giảm đến 79% laptop. Truy cập m.shop.online ngay!
spam,QUAN TRỌNG: Phát hiện đăng nhập lạ vào Internet Banking. Kiểm tra: my.secure.online
ham,Cuối tuần này bạn có kế hoạch gì không? Mình muốn rủ đi đi dạo.
ham,Mình cần hỗ trợ với presentation. Bạn có thể giúp không?
ham,Mình mới mua máy ảnh mới. Cuối tuần qua xem nhé!
ham,Cuối tuần này bạn có kế hoạch gì không? Mình muốn rủ đi xem phim.
spam,TIN VUI! SIM của bạn trúng thưởng TV SONY 4K. Gọi 0908393219 trong vòng 12h để nhận!
ham,Bạn có biết chỗ nào bán smart watch tốt không? Mình đang cần.
ham,Bài tập Marketing khó quá. Bạn giải thích giúp mình được không?
ham,Deadline chiến dịch mới là khi nào? Mình cần chuẩn bị presentation.
ham,Mình mới mua điện thoại mới. Cuối tuần qua xem nhé!
spam,SALE SỐC: Giảm đến 43% tablet. Truy cập www.shop.online ngay!
ham,Cuối tuần này bạn có kế hoạch gì không? Mình muốn rủ đi đi café.
spam,THÔNG BÁO KHẨN: SIM cần xác minh gấp. Truy cập: www.secure.net
ham,Cuối tuần này bạn có kế hoạch gì không? Mình muốn rủ đi xem phim.
ham,Mình tìm nhóm làm project nhóm môn Anh văn. Bạn có muốn join không?
ham,Mình vừa học bài xong. Hôm nay không khí mát mẻ!
ham,Hôm nay mình nấu phở. Bạn qua ăn không?
spam,VAY ONLINE: Lãi suất chỉ 5%/tháng. Đăng ký: m.loan.online
ham,Deadline tiểu luận môn Toán là khi nào?
spam,"CẦN TIỀN GẤP? Vay đến 2000000đ, không thế chấp. Gọi: 0952046025"
ham,Deadline presentation môn Hóa là khi nào?
ham,Mai 5h45 mình học nhóm môn Toán nhé?
ham,Bạn gửi cho mình báo cáo của dự án B được không?
ham,Mình cần review với báo cáo. Bạn có thể giúp không?
ham,Họp chiến dịch mới chuyển sang 14h nhé. Nhớ mang laptop.
ham,Hôm nay mình nấu cơm rang. Bạn qua ăn không?
spam,CHÚC MỪNG! Bạn đã trúng LAPTOP GAMING trị giá 10000000đ. Liên hệ 0908392501 để nhận quà!
ham,Mình cần hỗ trợ với design. Bạn có thể giúp không?
spam,HỖ TRỢ VAY VỐN: Duyệt tự động qua app. Tải ngay: my.loan.asia
spam,SALE SỐC: Giảm đến 61% mỹ phẩm. Truy cập www.shop.com ngay!
ham,Deadline báo cáo môn Hóa là khi nào?
spam,BẠN ĐÃ TRÚNG! SAMSUNG S23 trị giá 10000000đ từ FPT. Xác nhận tại: www.claim-prize.com
ham,Mình vừa xem phim xong. Hôm nay mệt quá!
ham,Mình mới mua điện thoại mới. Cuối tuần qua xem nhé!
ham,Mình vừa đi ăn xong. Hôm nay vui lắm!
spam,"CẦN TIỀN GẤP? Vay đến 2000000đ, không thế chấp. Gọi: 0987235037"
spam,HOT DEAL: Giảm 59% tại Lazada. Mã: SALE869. Hết hạn trong 12h!
spam,SIÊU SALE: Thanh toán qua MoMo giảm thêm 9%!
ham,Deadline tiểu luận môn Kinh tế là khi nào?
spam,"VAY TIỀN NHANH: Chỉ cần CMND, giải ngân sau 48h. LH: www.loan.asia"
spam,BẠN ĐÃ TRÚNG! XE MÁY HONDA trị giá 500000đ từ Shopee. Xác nhận tại: www.claim-prize.net
ham,Tối nay 1h mình xem phim nhé. quán quen như mọi khi.
spam,BẠN ĐÃ TRÚNG! XE MÁY HONDA trị giá 20000000đ từ Shopee. Xác nhận tại: www.claim-prize.net
ham,Bạn có review về máy ảnh không? Mình đang định mua.
spam,CHÚC MỪNG! Bạn đã trúng XE MÁY HONDA trị giá 1000000đ. Liên hệ 0901967158 để nhận quà!
ham,Team mình họp online lúc 7h33 nhé. Link meet: meet.google.com/mnxhogsmps
spam,KHÁM PHÁ: Đầu tư Ethereum sinh lời 200%. CT: m.invest.asia
ham,Họp dự án B chuyển sang 17h nhé. Nhớ mang bản vẽ.
ham,Họp dự án A chuyển sang 14h nhé. Nhớ mang tài liệu.
spam,CẢNH BÁO: SIM của bạn có dấu hiệu bất thường. Kiểm tra: www.secure.online
ham,Bạn có biết chỗ nào bán laptop tốt không? Mình đang cần.
ham,Bài tập Lý khó quá. Bạn giải thích giúp mình được không?
spam,KHẨN: Tài khoản Tài khoản của bạn sắp bị khóa. Xác minh tại: www.secure.online
ham,Deadline chiến dịch mới là khi nào? Mình cần chuẩn bị số liệu.
ham,Team mình họp online lúc 4h34 nhé. Link meet: meet.google.com/glbxeiqgsv
spam,CẢNH BÁO: Tài khoản của bạn có dấu hiệu bất thường. Kiểm tra: www.secure.com
spam,KHẨN: Tài khoản Tài khoản của bạn sắp bị khóa. Xác minh tại: m.secure.asia
ham,Hôm nay mình nấu lẩu. Bạn qua ăn không?
spam,CƠ HỘI ĐẦU TƯ: Lợi nhuận 147%/tháng. Tìm hiểu: m.invest.xyz
ham,Bạn có biết chỗ nào bán laptop tốt không? Mình đang cần.
spam,FLASH SALE 35H: Samsung giảm 87%. Số lượng có hạn!
ham,Bạn có biết chỗ nào bán laptop tốt không? Mình đang cần.
ham,"Bạn ơi, 21h13 mình gặp nhau quán quen được không?"
spam,BÍ QUYẾT KIẾM 20000000đ/NGÀY từ Crypto. Tham gia ngay: app.invest.asia
ham,Bạn gửi cho mình contract của chiến dịch mới được không?
ham,"Hôm nay trời mưa, mình đi học bài không bạn?"
spam,SALE SỐC: Giảm đến 33% tablet. Truy cập www.shop.vn ngay!
ham,Hôm nay mình nấu cơm rang. Bạn qua ăn không?
ham,Mình vừa đi café xong. Hôm nay trời đẹp lắm!
spam,CẢNH BÁO: Ví điện tử của bạn có dấu hiệu bất thường. Kiểm tra: www.secure.net
ham,Mình tìm nhóm làm đồ án cuối kỳ môn Toán. Bạn có muốn join không?
ham,Bạn gửi cho mình bản thảo của dự án B được không?
spam,KHẨN: Tài khoản Tài khoản của bạn sắp bị khóa. Xác minh tại: www.secure.com
ham,"Bạn ơi, 19h1 mình gặp nhau nhà mình được không?"
ham,Bạn có review về máy ảnh không? Mình đang định mua.
ham,Hôm nay mình nấu cơm rang. Bạn qua ăn không?
spam,HOT DEAL: Giảm 44% tại Sendo. Mã: SALE114. Hết hạn trong 20h!
ham,Mình tìm nhóm làm project nhóm môn Kinh tế. Bạn có muốn join không?
ham,Họp chiến dịch mới chuyển sang 16h nhé. Nhớ mang laptop.
spam,FLASH SALE 4H: iPad giảm 37%. Số lượng có hạn!
ham,Bạn có review về tai nghe không? Mình đang định mua.
spam,THÔNG BÁO KHẨN: Ngân hàng cần xác minh gấp. Truy cập: www.secure.com
spam,CHÚC MỪNG BẠN! Số điện thoại của bạn trúng IPHONE 15 PRO MAX. Nhận quà tại: m.claim-prize.net
ham,Bạn có biết chỗ nào bán điện thoại tốt không? Mình đang cần.
ham,Mình cần review với presentation. Bạn có thể giúp không?
spam,KHÁM PHÁ: Đầu tư Ethereum sinh lời 70%. CT: www.invest.asia
spam,VAY ONLINE: Lãi suất chỉ 1%/tháng. Đăng ký: vn.loan.xyz
spam,THÔNG BÁO KHẨN: Tài khoản cần xác minh gấp. Truy cập: www.secure.net
ham,Bạn có tài liệu môn Anh văn không? Cho mình mượn với.
ham,Mình vừa đi café xong. Hôm nay trời đẹp lắm!
ham,Mình cần hỗ trợ với presentation. Bạn có thể giúp không?
ham,Mình tìm nhóm làm nghiên cứu môn Toán. Bạn có muốn join không?
spam,KHẨN: Tài khoản Ngân hàng của bạn sắp bị khóa. Xác minh tại: www.secure.com
ham,Họp kế hoạch quý chuyển sang 12h nhé. Nhớ mang tài liệu.
ham,Mình cần review với code. Bạn có thể giúp không?
ham,Tối nay 11h mình đi café nhé. công viên như mọi khi.
ham,"Hôm nay nắng đẹp, mình đi đi dạo không bạn?"
ham,Mình vừa đi café xong. Hôm nay không khí mát mẻ!
ham,Mình cần hỗ trợ với báo cáo. Bạn có thể giúp không?
ham,Mình mới mua tai nghe mới. Cuối tuần qua xem nhé!
